rule_id,issue,field,value,severity,category
1,weak_protocol,service,http,HIGH,Web
2,No issues found,-,-,,-
3,No issues found,-,-,,-
4,allow_all_destination_port,dstaddr,any,HIGH,User Access
4,allow_all_destination_port,action,allow,HIGH,User Access
4,allow_all_service,service,any,MEDIUM,Web
4,allow_all_service,action,allow,MEDIUM,Web
5,No issues found,-,-,,-
6,allow_all_destination_port,dstaddr,any,HIGH,User Access
6,allow_all_destination_port,action,allow,HIGH,User Access
7,allow_all_destination_port,dstaddr,any,HIGH,User Access
7,allow_all_destination_port,action,allow,HIGH,User Access
7,no_logging_error,log,disable,MEDIUM,Admin
8,admin_port_exposed,service,ssh,CRITICAL,Admin
9,admin_port_exposed,service,rdp,CRITICAL,Admin
10,No issues found,-,-,,-
11,No issues found,-,-,,-
12,allow_all_destination_port,dstaddr,any,HIGH,User Access
12,allow_all_destination_port,action,allow,HIGH,User Access
12,suspicious_service,service,smtp,High,Web
13,allow_all_destination_port,dstaddr,any,HIGH,User Access
13,allow_all_destination_port,action,allow,HIGH,User Access
13,allow_all_service,service,any,MEDIUM,Web
13,allow_all_service,action,allow,MEDIUM,Web
14,No issues found,-,-,,-
15,admin_port_exposed,service,ssh,CRITICAL,Admin
16,No issues found,-,-,,-
17,No issues found,-,-,,-
18,admin_port_exposed,service,rdp,CRITICAL,Admin
19,No issues found,-,-,,-
20,No issues found,-,-,,-
