rule_id,issue,field,value,severity,category
1,suspicious_service,service,smtp,High,Web
2,admin_port_exposed,service,rdp,CRITICAL,Admin
3,admin_port_exposed,service,rdp,CRITICAL,Admin
3,admin_port_exposed,service,rdp,CRITICAL,Admin
4,No issues found,-,-,,-
5,admin_port_exposed,service,rdp,CRITICAL,Admin
6,admin_port_exposed,service,rdp,CRITICAL,Admin
7,allow_all_destination_port,dstaddr,all,HIGH,User Access
7,allow_all_destination_port,action,accept,HIGH,User Access
7,smb_netbios_exposed,service,netbios,CRITICAL,Web
7,admin_port_exposed,service,ssh,CRITICAL,Admin
7,broad_ip_range,dstaddr,all,HIGH,User Access
8,No issues found,-,-,,-
9,suspicious_service,service,ldap,High,Web
10,admin_port_exposed,service,ssh,CRITICAL,Admin
10,weak_protocol,service,http,HIGH,Web
11,No issues found,-,-,,-
12,suspicious_service,service,ldap,High,Web
13,smb_netbios_exposed,service,netbios,CRITICAL,Web
14,admin_port_exposed,service,ssh,CRITICAL,Admin
15,allow_all_service,service,all,MEDIUM,Web
15,allow_all_service,action,accept,MEDIUM,Web
16,allow_all_destination_port,dstaddr,all,HIGH,User Access
16,allow_all_destination_port,action,accept,HIGH,User Access
16,allow_all_service,service,any,MEDIUM,Web
16,allow_all_service,action,accept,MEDIUM,Web
16,broad_ip_range,dstaddr,all,HIGH,User Access
17,allow_all_service,service,all,MEDIUM,Web
17,allow_all_service,action,accept,MEDIUM,Web
18,allow_all_service,service,all,MEDIUM,Web
18,allow_all_service,action,accept,MEDIUM,Web
19,allow_all_service,service,any,MEDIUM,Web
19,allow_all_service,action,accept,MEDIUM,Web
20,No issues found,-,-,,-
21,No issues found,-,-,,-
22,allow_all_source_port,srcaddr,all,HIGH,User Access
22,allow_all_source_port,action,accept,HIGH,User Access
22,broad_ip_range,srcaddr,all,HIGH,User Access
23,allow_all_source_port,srcaddr,all,HIGH,User Access
23,allow_all_source_port,action,accept,HIGH,User Access
23,broad_ip_range,srcaddr,all,HIGH,User Access
23,weak_protocol,service,http,HIGH,Web
24,allow_all_source_port,srcaddr,all,HIGH,User Access
24,allow_all_source_port,action,accept,HIGH,User Access
24,broad_ip_range,srcaddr,all,HIGH,User Access
24,weak_protocol,service,http,HIGH,Web
25,admin_port_exposed,service,ssh,CRITICAL,Admin
26,weak_protocol,service,http,HIGH,Web
27,No issues found,-,-,,-
28,No issues found,-,-,,-
29,No issues found,-,-,,-
30,No issues found,-,-,,-
31,No issues found,-,-,,-
32,allow_all_destination_port,dstaddr,all,HIGH,User Access
32,allow_all_destination_port,action,accept,HIGH,User Access
32,broad_ip_range,dstaddr,all,HIGH,User Access
33,weak_protocol,service,http,HIGH,Web
34,weak_protocol,service,http,HIGH,Web
35,No issues found,-,-,,-
36,No issues found,-,-,,-
37,weak_protocol,service,http,HIGH,Web
38,weak_protocol,service,http,HIGH,Web
39,admin_port_exposed,service,ssh,CRITICAL,Admin
40,No issues found,-,-,,-
41,No issues found,-,-,,-
42,weak_protocol,service,http,HIGH,Web
43,No issues found,-,-,,-
44,weak_protocol,service,http,HIGH,Web
45,No issues found,-,-,,-
46,weak_protocol,service,http,HIGH,Web
47,No issues found,-,-,,-
